restaurant	zagat	address
2000	2000	5848	4123
0000	3	4183 Roswell Rd. NE	(Interlochen Dr.)	Atlanta, GA 30342
1787	5	MetLife Bldg.	|	200 Park Ave.	(45th St.)	Manhattan, NY 10166
1788	2	270 Smith St	Brooklyn, NY 11231
1789	3	78 Carmine St.	(bet. Bedford St. & 7th Ave. S.)	Manhattan, NY 10014
1790	2	240 W 54th St	Manhattan, NY 10019
1791	2	32 Grand St	Manhattan, NY 10013
1792	3	41 Saint Marks Pl	(2nd Ave.)	Manhattan, NY 10003
1793	3	123 W. 44th St.	(bet. B'way & 6th Ave.)	Manhattan, NY 10036
1794	3	236 E. 77th St.	(bet. 2nd & 3rd Aves.)	Manhattan, NY 10021
1795	3	881 Eighth Ave.	(bet. 52nd & 53rd Sts.)	Manhattan, NY 10019
1796	3	112 DeKalb Ave.	(bet. Ashland Pl. & St. Felix St.)	Brooklyn, NY 11201
1797	3	265 Lafayette St.	(Prince St.)	Manhattan, NY 10012
1798	3	1695 Second Ave.	(88th St.)	Manhattan, NY 10128
1799	3	368 Columbus Ave.	(bet. 77th & 78th Sts.)	Manhattan, NY 10024
1800	5	Neue Galerie	|	1048 Fifth Ave.	(86th St.)	Manhattan, NY 10028
1801	2	2735 Broadway	Manhattan, NY 10025
1802	2	61 7th Ave S Frnt	Manhattan, NY 10014
1803	5	The Shops at Atlas Park	|	71-03 80th St.	(Forest Pkwy.)	Queens, NY 11385
1804	2	2241 1st Ave	Manhattan, NY 10029
1805	3	2888 Broadway	(bet. 112th & 113th Sts.)	Manhattan, NY 10025
1806	2	7316 3rd Ave	Brooklyn, NY 11209
1807	3	1825 N Railroad Ave	(off guyon avenue)	Staten Island, NY 10306
1808	2	1056 Morris Park Ave	Bronx, NY 10461
1809	2	327 2nd Ave	Manhattan, NY 10003
1810	3	405 E. Sixth St.	(1st Ave.)	Manhattan, NY 10009
1811	5	Carlyle Hotel	|	35 E. 76th St.	(Madison Ave.)	Manhattan, NY 10021
1812	3	1571 Richmond Rd.	(bet. Four Corners Rd. & Seaview Ave.)	Staten Island, NY 10304
1813	3	52 Irving Pl.	(17th St.)	Manhattan, NY 10003
1814	3	211 W. Broadway	(Franklin St.)	Manhattan, NY 10013
1815	3	241 W. Broadway	(N. Moore St.)	Manhattan, NY 10013
1816	2	930 8th Ave	Manhattan, NY 10019
1817	2	761 9th Ave	Manhattan, NY 10019
1818	3	3923 Bell Blvd	(40th & 39th Avenue)	Queens, NY 11361
1819	2	206 9th Ave	Manhattan, NY 10011
1820	3	129 E. 27th St.	(Park Ave. S.)	Manhattan, NY 10016
1821	2	306 E 6th St	Manhattan, NY 10003
1822	3	211 DeKalb Ave.	(Adelphi St.)	Brooklyn, NY 11205
1823	3	8530 Third Ave.	(bet. 85th & 86th Sts.)	Brooklyn, NY 11209
1824	3	688 Sixth Ave.	(bet. 21st & 22nd Sts.)	Manhattan, NY 10010
1825	3	203 E. 10th St.	(bet. 1st & 2nd Aves.)	Manhattan, NY 10003
1826	3	50 Ave. B	(bet. 3rd & 4th Sts.)	Manhattan, NY 10009
1827	3	1650 3rd Ave	(92 street)	Manhattan, NY 10128
1828	3	129 Atlantic Ave.	(Henry St.)	Brooklyn, NY 11201
1829	2	1198B Forest Ave	Staten Island, NY 10310
1830	3	55 W. 35th St.	(bet. 5th & 6th Aves.)	Manhattan, NY 10001
1831	2	380 3rd Ave Frnt 1	Manhattan, NY 10016
1832	3	165 E. 52nd St.	(bet. Lexington & 3rd Aves.)	Manhattan, NY 10022
1833	3	308 Bleecker St.	(bet. Grove St. & 7th Ave. S.)	Manhattan, NY 10014
1834	2	6443 108th St	Queens, NY 11375
1835	2	316 W 23rd St	Manhattan, NY 10011
1836	2	606 2nd Ave	Manhattan, NY 10016
1837	2	3932 Bell Blvd	Queens, NY 11361
1838	2	194 Prospect Park W	Brooklyn, NY 11215
1839	3	132 E. 61st St.	(bet. Lexington & Park Aves.)	Manhattan, NY 10065
1840	3	320 Amsterdam Ave.	(75th St.)	Manhattan, NY 10023
1841	3	85 10th Ave.	(bet. 15th & 16th Sts.)	Manhattan, NY 10011
1842	3	417 Lafayette St.	(bet. Astor Pl. & 4th St.)	Manhattan, NY 10003
1843	5	New Yorker Hotel	|	481 Eighth Ave.	(35th St.)	Manhattan, NY 10001
1844	3	378 Third Ave.	(bet. 27th & 28th Sts.)	Manhattan, NY 10016
1845	2	226 Church Ave	Brooklyn, NY 11218
1846	2	Red Hook Ballfields & Brooklyn Flea	Brooklyn, NY
1847	2	96 E 161st St	Bronx, NY 10451
1848	3	259 Front St.	(Dover St.)	Manhattan, NY 10038
1849	3	43 E. 19th St.	(bet. B'way & Park Ave. S.)	Manhattan, NY 10003
1850	3	900 Broadway	(bet. 19th & 20th Sts.)	Manhattan, NY 10003
1851	2	135 Ludlow St	Manhattan, NY 10002
1852	3	684 Third Ave.	(43rd St.)	Manhattan, NY 10017
1853	3	240 W. 14th St.	(bet. 7th & 8th Aves.)	Manhattan, NY 10011
1854	2	1731 Crosby Ave	Bronx, NY 10461
1855	3	24 Fifth Ave.	(bet. 9th & 10th Sts.)	Manhattan, NY 10011
1856	3	80 Sixth Ave.	(St. Marks Pl.)	Brooklyn, NY 11217
1857	3	87 E. Fourth St.	(bet. Bowery & 2nd Ave.)	Manhattan, NY 10003
1858	3	359 W. Broadway	(bet. Broome & Grand Sts.)	Manhattan, NY 10013
1859	3	42-18 31st Ave.	(bet. 42nd & 43rd Sts.)	Queens, NY 11103
1860	2	220 W 49th St	Manhattan, NY 10019
1861	3	71-51 Yellowstone Blvd.	(bet. Clyde & Dartmouth Sts.)	Queens, NY 11375
1862	3	325 W. 42nd St.	(bet. 8th & 9th Aves.)	Manhattan, NY 10036
1863	3	1265 Third Ave.	(bet. 72nd & 73rd Sts.)	Manhattan, NY 10021
1864	2	611 9th Ave	Manhattan, NY 10036
1865	3	59 Fifth Ave.	(bet. 12th & 13th Sts.)	Manhattan, NY 10003
1866	2	16812 Union Tpke	Queens, NY 11366
1867	5	Bloomingdale's	|	150 E. 59th St.	(bet. Lexington & 3rd Aves.)	Manhattan, NY 10022
1868	3	133 E. 61st St.	(bet. Lexington & Park Aves.)	Manhattan, NY 10065
1869	3	239 E. Fifth St.	(bet. 2nd & 3rd Aves.)	Manhattan, NY 10003
1870	2	166 Kings Hwy	Brooklyn, NY 11223
1871	2	508 E 12th St	Manhattan, NY 10009
1872	3	1841 Hobart Ave	(Westchester Avenue)	Bronx, NY 10461
1873	3	204 W. 14th St.	(7th Ave. S.)	Manhattan, NY 10011
1874	3	633 Third Ave.	(40th St.)	Manhattan, NY 10017
1875	2	5724 Roosevelt Ave	Queens, NY 11377
1876	3	373 Park Ave. S.	(bet. 26th & 27th Sts.)	Manhattan, NY 10016
1877	3	103 W. 77th St.	(Columbus Ave.)	Manhattan, NY 10024
1878	3	149 Broadway	(bet. Bedford & Driggs Aves.)	Brooklyn, NY 11211
1879	3	432 Union Ave.	(bet. Devoe St. & Metropolitan Ave.)	Brooklyn, NY 11211
1880	2	4513 Queens Blvd	Queens, NY 11104
1881	3	1064 Madison Ave.	(bet. 80th & 81st Sts.)	Manhattan, NY 10028
1882	3	53 W. 72nd St.	(bet. Columbus Ave. & CPW)	Manhattan, NY 10023
1883	3	42-07 Main St.	(bet. Franklin & Maple Aves.)	Queens, NY 11355
1884	2	10529 Metropolitan Ave	Queens, NY 11375
1885	2	174 5th Ave	Manhattan, NY 10010
1886	2	86 University Pl	Manhattan, NY 10003
1887	2	113 Rivington St	Manhattan, NY 10002
1888	3	5592 Broadway	(231st St.)	Bronx, NY 10463
1889	2	10 Hillside Ave	Manhattan, NY 10040
1890	3	1703 Second Ave.	(bet. 88th & 89th Sts.)	Manhattan, NY 10128
1891	3	58 E. First St.	(bet. 1st & 2nd Aves.)	Manhattan, NY 10003
1892	3	11 Madison Ave.	(24th St.)	Manhattan, NY 10010
1893	3	510 Hudson St.	(bet. Christopher & W. 10th Sts.)	Manhattan, NY 10014
1894	3	539 La Guardia Pl.	(bet. Bleecker & W. 3rd Sts.)	Manhattan, NY 10012
1895	3	27 Hyatt St.	(Central Ave.)	Staten Island, NY 10301
1896	3	402 W. 43rd St.	(9th Ave.)	Manhattan, NY 10036
1897	3	833 Annadale Rd	(jefferson blvd)	Staten Island, NY 10312
1898	3	352 W. 44th St.	(bet. 8th & 9th Aves.)	Manhattan, NY 10036
1899	3	905 First Ave.	(51st St.)	Manhattan, NY 10022
1900	3	125 W 53rd St	(6th Ave.)	Manhattan, NY 10019
1901	3	79 Clinton St.	(Rivington St.)	Manhattan, NY 10002
1902	2	1827 2nd Ave	Manhattan, NY 10128
1903	3	71 Clinton St.	(bet. Rivington & Stanton Sts.)	Manhattan, NY 10002
1904	3	543 La Guardia Pl.	(bet. Bleecker & W. 3rd Sts.)	Manhattan, NY 10012
1905	3	243 E. 58th St.	(bet. 2nd & 3rd Aves.)	Manhattan, NY 10022
1906	3	4055 Broadway	(bet. 170th & 171st Sts.)	Manhattan, NY 10032
1907	2	250 Vesey St Fl 4	Manhattan, NY 10080
1908	3	54 Spring St.	(bet. Lafayette & Mulberry Sts.)	Manhattan, NY 10012
1909	5	Omni Berkshire Place Hotel	|	19 E. 52nd St.	(bet. 5th & Madison Aves.)	Manhattan, NY 10022
1910	3	9218 Fourth Ave.	(92nd St.)	Brooklyn, NY 11209
1911	3	135 E. 62nd St.	(bet. Lexington & Park Aves.)	Manhattan, NY 10065
1912	2	7205 Austin St	Queens, NY 11375
1913	3	174 E. 82nd St.	(bet. Lexington & 3rd Aves.)	Manhattan, NY 10028
1914	2	185 Sullivan St	Manhattan, NY 10012
1915	2	192 Grand St	Manhattan, NY 10013
1916	3	115 Mulberry St.	(bet. Canal & Hester Sts.)	Manhattan, NY 10013
1917	3	88 Second Ave.	(bet. 5th & 6th Sts.)	Manhattan, NY 10003
1918	2	222 W Broadway	Manhattan, NY 10013
1919	3	295 Flatbush Ave.	(bet. Prospect Pl. & St. Marks Ave.)	Brooklyn, NY 11217
1920	3	40 E. 52nd St.	(bet. Madison & Park Aves.)	Manhattan, NY 10022
1921	3	2110 Richmond Rd.	(Lincoln Ave.)	Staten Island, NY 10306
1922	3	688 Columbus Ave.	(bet. 93rd & 94th Sts.)	Manhattan, NY 10025
1923	3	149 W 4th St	(bet. MacDougal St. & 6th Ave.)	Manhattan, NY 10012
1924	3	228 W. 52nd St.	(bet. B'way & 8th Ave.)	Manhattan, NY 10019
1925	3	370 Columbus Ave.	(bet. 77th & 78th Sts.)	Manhattan, NY 10024
1926	3	158 Eighth Ave.	(bet. 17th & 18th Sts.)	Manhattan, NY 10011
1927	5	Bowery Hotel	|	335 Bowery	(bet. 2nd & 3rd Sts.)	Manhattan, NY 10003
1928	2	73 W 11th St	Manhattan, NY 10011
1929	2	1805 Edison Ave	Bronx, NY 10461
1930	2	13811 Queens Blvd	Queens, NY 11435
1931	2	8655 Queens Blvd	Queens, NY 11373
1932	2	283 Bleecker St	Manhattan, NY 10014
1933	2	4437 Douglaston Pkwy	Queens, NY 11363
1934	3	27 E. 21st St.	(bet. B'way & Park Ave. S.)	Manhattan, NY 10010
1935	3	337 E. 10th St.	(bet. Aves. A & B)	Manhattan, NY 10009
1936	3	50 Bowery	(Canal St.)	Manhattan, NY 10013
1937	2	173 E 99th St	Manhattan, NY 10029
1938	5	London NYC Hotel	|	151 W. 54th St.	(bet. 6th & 7th Aves.)	Manhattan, NY 10019
1939	3	201 E. 71st St.	(bet. 2nd & 3rd Aves.)	Manhattan, NY 10021
1940	5	Metropolitan Opera House	|	Lincoln Center Plaza, 2nd fl.	(bet. 63rd & 65th Sts.)	Manhattan, NY 10023
1941	3	54 Great Jones St.	(bet. Bowery & Lafayette St.)	Manhattan, NY 10012
1942	5	Douglaston Plaza	|	242-02 61st Ave.	(bet. Douglaston Pkwy. & 244th St.)	Queens, NY 11362
1943	3	186 Ave. B	(bet. 11th & 12th Sts.)	Manhattan, NY 10009
1944	3	67 1st Ave	(4th Street)	Manhattan, NY 10003
1945	3	1187 Amsterdam Ave.	(bet. 118th & 119th Sts.)	Manhattan, NY 10026
1946	2	2425 Broadway	Manhattan, NY 10024
1947	2	53 W 35th St	Manhattan, NY 10001
1948	3	350 Seventh Ave.	(10th St.)	Brooklyn, NY 11215
1949	2	1410 Madison Ave Frnt 1	Manhattan, NY 10029
1950	2	1167 2nd Ave Frnt 1	Manhattan, NY 10065
1951	5	Yankee Stadium	|	1 E. 161st St., Gate 6	(River Ave.)	Bronx, NY 10451
1952	3	355 Greenwich St.	(Harrison St.)	Manhattan, NY 10013
1953	3	280 Park Ave.	(enter on 48th St., bet. Madison & Park Aves.)	Manhattan, NY 10017
1954	2	6310 Woodhaven Blvd	Queens, NY 11374
1955	3	100 Second Ave.	(bet. 5th & 6th Sts.)	Manhattan, NY 10003
1956	3	127 W. 43rd St.	(bet. B'way & 6th Ave.)	Manhattan, NY 10036
1957	3	354 Bowery	(bet. 4th & Great Jones Sts.)	Manhattan, NY 10012
1958	3	329 Henry St.	(bet. Altantic & Pacific Sts.)	Brooklyn, NY 11201
1959	3	150 W. 10th St.	(bet. Greenwich Ave. & Waverly Pl.)	Manhattan, NY 10014
1960	2	574 Avenue of the Americas	Manhattan, NY 10011
1961	3	347 Van Brunt St.	(Wolcott St.)	Brooklyn, NY 11231
1962	2	68 Mott St	Manhattan, NY 10013
1963	3	72 Bayard St.	(Mott St.)	Manhattan, NY 10013
1964	5	Hudson Hotel	|	356 W. 58th St.	(bet. 8th & 9th Aves.)	Manhattan, NY 10019
1965	3	192 E. Second St.	(bet. Aves. A & B)	Manhattan, NY 10009
1966	3	191 Seventh Ave.	(bet. 21st & 22nd Sts.)	Manhattan, NY 10014
1967	3	176 Prince St.	(bet. Sullivan & Thompson Sts.)	Manhattan, NY 10012
1968	3	125 Mulberry St.	(bet. Canal & Hester Sts.)	Manhattan, NY 10013
1969	3	413 Greenwich St.	(Hubert St.)	Manhattan, NY 10013
1970	3	151 Mulberry St.	(bet. Grand & Hester Sts.)	Manhattan, NY 10013
1971	3	16 W. 56th St.	(bet. 5th & 6th Aves.)	Manhattan, NY 10019
1972	2	139 Court St	Brooklyn, NY 11201
1973	2	7407 3rd Ave	Brooklyn, NY 11209
1974	3	175 E 83rd St	(bet. Lexington & 3rd Aves.)	Manhattan, NY 10028
1975	3	357 E 50th St Frnt	(bet. 1st & 2nd Aves.)	Manhattan, NY 10022
1976	3	325 Park Ave.	(50th St.)	Manhattan, NY 10022
1977	5	Michelangelo Hotel	|	777 Seventh Ave.	(bet. 50th & 51st Sts.)	Manhattan, NY 10019
1978	3	13 W 46th St	(btn 5th and 6th)	Manhattan, NY 10036
1979	3	56 Pine St.	(bet. Pearl & William Sts.)	Manhattan, NY 10005
1980	3	605 Carlton Ave.	(St. Marks Ave.)	Brooklyn, NY 11238
1981	3	100 W. Houston St.	(bet. La Guardia Pl. & Thompson St.)	Manhattan, NY 10012
1982	3	1619 Second Ave.	(84th St.)	Manhattan, NY 10028
1983	5	Trump Int'l Hotel	|	1 Central Park W.	(bet. 60th & 61st Sts.)	Manhattan, NY 10023
1984	5	Trump Int'l Hotel	|	1 Central Park W.	(bet. 60th & 61st Sts.)	Manhattan, NY 10023
1985	2	2715 Broadway	Manhattan, NY 10025
1986	3	258 W. 31st St.	(bet. 7th & 8th Aves.)	Manhattan, NY 10001
1987	3	24 W. 56th St.	(bet. 5th & 6th Aves.)	Manhattan, NY 10019
1988	2	38 W 39th St Ste Frnt	Manhattan, NY 10018
1989	2	1114 8th Ave	Brooklyn, NY 11215
1990	3	25 W. 51st St., downstairs	(bet. 5th & 6th Aves.)	Manhattan, NY 10019
1991	2	9703 3rd Ave	Brooklyn, NY 11209
1992	3	347 E. 54th St.	(bet. 1st & 2nd Aves.)	Manhattan, NY 10022
1993	3	65 St. Marks Pl.	(bet. 1st & 2nd Aves.)	Manhattan, NY 10003
1994	5	Grand Central	|	lower level	(42nd St. & Vanderbilt Ave.)	Manhattan, NY 10017
1995	2	136 Greenpoint Ave	Brooklyn, NY 11222
1996	3	856 Ninth Ave.	(56th St.)	Manhattan, NY 10019
1997	3	53 Sixth Ave.	(bet. Bergen & Dean Sts.)	Brooklyn, NY 11217
1998	2	842 2nd Ave	Manhattan, NY 10017
1999	3	36 E. 20th St.	(bet. B'way & Park Ave. S.)	Manhattan, NY 10003
